unique_name,strongs,founder,people_group,latitude,lat,longitude,long,bcv_id
Chebar@Ezk.1.1,H3529,,,33.159129,33.1,44.062930,44.0,ezk.1.1
Chephar-ammoni@Jos.18.24,H3723G,,,31.966667,31.9,35.250000,35.2,jos.18.24
Chephirah@Jos.9.17,H3716,,,31.836401,31.8,35.095272,35.0,jos.9.17
Cherith@1Ki.17.3,H3747,,,32.309099,32.3,35.559900,35.5,1ki.17.3
Cherub@Ezr.2.59,H3743,,,32.53650368616845,32.5,44.42088287373876,44.4,ezr.2.59
Chesalon@Jos.15.10,H3693,,,31.781049,31.7,35.051130,35.0,jos.15.10
Chesil@Jos.15.30,H3686,,,32.049953,32.0,35.733402,35.7,jos.15.30
Chesulloth@Jos.19.18,H3694,,,32.683231,32.6,35.324694,35.3,jos.19.18
Chilmad@Ezk.27.23,H3638,,,36.359410,36.3,43.152887,43.1,ezk.27.23
Chinnereth@Jos.19.35,H3672I,,,32.80677585520321,32.8,35.58936052679091,35.5,jos.19.35
Chinneroth@Jos.11.2,H3672H,,,32.80677585520321,32.8,35.58936052679091,35.5,jos.11.2
Chios@Act.20.15,G5508,,,38.444840,38.4,26.063302,26.0,act.20.15
Chitlish@Jos.15.40,H3798,,,31.823337,31.8,34.777779,34.7,jos.15.40
Chorazin@Mat.11.21,G5523,,,32.90909168933021,32.9,35.55292324144203,35.5,mat.11.21
Cilicia@Act.6.9,G2791,,,36.91802695356275,36.9,34.89153398422567,34.8,act.6.9
City_of_Salt@Jos.15.62,H5898,,,31.46152536164766,31.4,35.39241108242345,35.3,jos.15.62
Cnidus@Act.27.7,G2834,,,36.68502255790917,36.6,27.37439432376754,27.3,act.27.7
Colossae@Col.1.2,G2857G,,,37.78333333333333,37.7,29.25,29.2,col.1.2
Corban@Mat.27.6,G2878,,,31.777444,31.7,35.234935,35.2,mat.27.6
Corinth@Act.18.1,G2882,,,37.9059573586561,37.9,22.87788175588845,22.8,act.18.1
Corner_Gate@2Ki.14.13,H6438G,,,31.777444,31.7,35.234935,35.2,2ki.14.13
Cos@Act.21.1,G2972,,,36.80467006054953,36.8,27.08994040521288,27.0,act.21.1
Crete@Deu.2.23,H3731,,,35.171239,35.1,25.007204,25.0,deu.2.23
Cush@Gen.2.13,H3568A,Cush@Gen.10.6,,21.959788,21.9,31.343557,31.3,gen.2.13
Cushan@Hab.3.7,H3572,,,21.959788,21.9,31.343557,31.3,hab.3.7
Cuthah@2Ki.17.30,H3575,,,32.733333,32.7,44.666667,44.6,2ki.17.30
Cyprus@Num.24.24,H3794H,Kittim@Gen.10.4,,35.018306,35.0,33.207693,33.2,num.24.24
Cyrene@Mat.27.32,G2956,,,32.824979,32.8,21.858301,21.8,mat.27.32
Dabbesheth@Jos.19.11,H1708,,,33.000000,33.0,35.266682,35.2,jos.19.11
Daberath@Jos.19.12,H1705,,,32.69171267584284,32.6,35.37171031061986,35.3,jos.19.12
Dalmatia@2Ti.4.10,G1149,,,43.515484,43.5,16.071538,16.0,2ti.4.10
Damascus@Gen.14.15,H1834,,,33.519299,33.5,36.31344999999999,36.3,gen.14.15
Dan@Gen.14.14,H1835G,Dan@Gen.30.6,,33.24865997897308,33.2,35.65248345039043,35.6,gen.14.14
Dannah@Jos.15.49,H1837,,,31.561025,31.5,34.975472,34.9,jos.15.49
Debir@Jos.10.38,H1688A,,,31.41666959977098,31.4,34.96667012280085,34.9,jos.10.38
Debir@Jos.15.7,H1688G,,,31.816662,31.8,35.349994,35.3,jos.15.7
Decapolis@Mat.4.25,G1179,,,33.519299,33.5,36.31344999999999,36.3,mat.4.25
Dedan@Jer.25.23,H1719A,Dedan@Jer.25.23,,26.625139,26.6,37.919663,37.9,jer.25.23
Derbe@Act.14.6,G1190,,,37.35092016962404,37.3,33.27141769926378,33.2,act.14.6
Diblathaim@Num.33.46,H5963,,,31.49684513710609,31.4,35.78284105296996,35.7,num.33.46
Dibon@Num.21.30,H1769G,,,31.49684513710609,31.4,35.78284105296996,35.7,num.21.30
Dibon@Neh.11.25,H1769H,,,31.1858,31.1,34.96745,34.9,neh.11.25
Dilean@Jos.15.38,H1810,,,31.56485056116292,31.5,34.8467256730566,34.8,jos.15.38
Dimnah@Jos.21.35,H1829,,,32.781808,32.7,35.321364,35.3,jos.21.35
Dimonah@Jos.15.22,H1776,,,31.1858,31.1,34.96745,34.9,jos.15.22
Dinhabah@Gen.36.32,H1838,,,30.336614,30.3,35.529889,35.5,gen.36.32
Diviners'_Oak@Jdg.9.37,H6049G,,,32.21369123124062,32.2,35.2817986718367,35.2,jdg.9.37
Dizahab@Deu.1.1,H1774,,,28.507836,28.5,34.516339,34.5,deu.1.1
Dophkah@Num.33.12,H1850,,,28.770015,28.7,33.400460,33.4,num.33.12
Dor@Jos.12.23,H1756G,,,32.61323618394521,32.6,34.91889683434057,34.9,jos.12.23
Dothan@Gen.37.17,H1886,,,32.42064338380848,32.4,35.18019829952955,35.1,gen.37.17
