unique_name,qualifer,significance,estrong,dstrong,original,esv_name
Beth-dagon@Jos.15.41,,- Named,H1016G,H1016,בֵּית־דָּגוֹן,Beth-dagon (NIV= Beth Dagon)
Beth-dagon@Jos.19.27,,- Named,H1016H,H1016,בֵּית־דָּגוֹן,Beth-dagon (NIV= Beth Dagon)
Beth-eden@Amo.1.5,,- Named,H1040,H1040,בֵּית עֶ֑דֶן,Beth-eden (KJV= house of Eden; NIV= Beth Eden)
Beth-eked@2Ki.10.12,,- Named,H1044,H1044,בֵּית־עֵ֫קֶד,Beth-eked (KJV= shearing house; NIV= Beth Eked)
Bethel@Gen.12.8,,- Named,H1008G,H1008,בֵּֽיתְ־אֵל,Bethel (KJV= Beth-el)
Bethel@Gen.12.8,,- (same as previous),H1008G,H1008,בֵּֽיתְ־אֵל,Bethel (KJV= House of God)
Bethel@Gen.12.8,,- Named,H1017,H1017,בֵּית הָאֱלִי,Bethel (KJV=Beth-el)
Bethel@Gen.12.8,Aven,- Named,H0206H,H0206,אָ֫וֶן,Aven (NIV= wickedness)
Bethel@Gen.12.8,Bochim,- Named,H1066,H1066,בֹּכִים,Bochim
Bethel@Gen.12.8,Luz,- Named,H3870H,H3870,לוּז,Luz
Bethel@Gen.12.8,El-bethel,- Named,H0416,H0416,אֵל בֵּית־אֵל,El-bethel (KJV= El-beth-el)
